"id. Response ID","submitdate. Date submitted","startdate. Date started","G1Q00001. Your current study program?","G1Q00001[other]. Your current study program? [Other]","G1Q00002. Bachelor or Master? ","G1Q00003. In which semester were you in SS24?(If you are a master student, only count your master semesters and do not count your bachelor semesters) ","G1Q00004. Which OS (operating system) do you use on your laptop?","G1Q00005. Which internet browser do you usually use?","G1Q00006. How would you describe your programming experience?","G2Q00001. The direct automated feedback from Artemis keeps me more engaged in the learning process.","G2Q00002. The direct automatic feedback from Artemis motivates me to repeatedly improve my code. ","G2Q00003. The direct automated feedback from Artemis makes me feel more motivated to complete my programming assignments. ","G2Q00004. The direct automated feedback from Artemis encourages me to experiment more with my coding solutions.","G3Q00001. I feel more comfortable requesting direct automated feedback from Artemis than feedback from a human tutor.","G3Q00002. I am likely to request feedback more frequently when using direct automated feedback from Artemis than feedback from my course professor.","G3Q00003. I find receiving direct automated feedback from Artemis less intimidating than receiving feedback from a human tutor.","G3Q00004. I feel that requesting direct automated feedback from Artemis is more convenient than arranging a meeting with a human tutor.","G4Q00001. The direct automated feedback provided by Artemis helps me understand my mistakes.","G4Q00002. The direct automated feedback from Artemis is more effective than one-time feedback.","G4Q00003. The direct automated feedback has significantly improved the quality of my programming assignment.","G4Q00004. The direct automated feedback is a helpful addition to the automatic test case results.","G4Q00005. I feel that having access to direct automated feedback from Artemis continously helps me more than arranging a meetings with a human tutor.","G5Q00001. It is easy to receive direct automated feedback from Artemis on my programming assignments.","G5Q00002. I would rather use the direct automated feedback integrated into Artemis than use an external AI tool for getting feedback.","G5Q00003. I find the direct automated feedback from Artemis helpful in improving my programming skills.","G5Q00004. I am satisfied with the overall performance of the direct automated feedback.","G5Q00005. Are there any improvements that you would suggest for direct automated feedback?","G5Q00006. How did you find the feedback?","G5Q00007. What kind of feedback would you like to receive?","G5Q00008. Was there anything you particularly liked about the direct automated feedback process?","G5Q00009. What difficulties did you encounter when using the direct automated feedback process?"
"11","2024-06-17 13:37:25","2024-06-17 13:20:37","Informatics","","Master","4","MacOS","Arc","Expert","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Disagree","Agree","1. In the repository/editor view on Artemis you should see a marker next to the files that have feedback
2. A hint that the feedback is viewable in the repo/edit view
3. Make the generation faster :D 
4. Maybe don't lock the repo in the time
5. The request button is somewhat hidden next to the other buttons, maybe make it a little more visible?","Solid","Feedback that encourages me to think of ways to improve my code","Requesting it is pretty simple","1. In the repository/editor view the build result sometimes took preference over the AI feedback and the latter was therefore not displayed
2. The feedback could contain overlapping comments, which were not rendered properly in the repository/editor view. See this screencast: https://youtu.be/Js68kq7AvQw"
"12","2024-06-17 13:43:39","2024-06-17 13:31:52","Information Systems","","Master","2","MacOS","Safari","Intermediate","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral","Agree","I think now especially that my only task was to wait for the feedback, it felt a bit slow for the first feedback. But the ones thereafter came back a lot quicker. Also, it gives further improvement suggestions (e.g. writing Javadoc or coding conventions) which definitely is good practice but not directly asked from the practice instructions. Maybe these general improvement instructions can be highlighted differently (as general feedback).","I think the feedback was worded very well overall and motivated to do more and also implement the feedback into the code with its encouraging texts. So in general I think it is very good feedback when you need some intermediary feedback when doing a task but it should not substitute a human tutor giving a final feedback. But for it's purpose I think it's very good.","I think the feedback as currently received fits my needs quite well.","The language used was very encouraging and I also think that the tips in general were quite useful. Also, in itself, it's a good option to get feedback when you're just working on your exercises at home (or elsewhere) and cannot ask tutors/colleagues, etc.","No real difficulties, but I guess the feedback is a bit overwhelmingly much and so it could be structured/coloured better to make it clearer."
"13","2024-06-17 13:44:06","2024-06-17 13:37:46","Information Systems","","Master","4","MacOS","Safari","Expert","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Group information from the feedback per class. Highlight errors, warnings and positive feedback in respective colors.","Helpful, I learned something about attribute arrangements.","Implementation specific but also best practices.","Easy to request and read through the feedback as it was concise.","Keep the overview because it was not grouped per class."
"14","2024-06-17 13:56:09","2024-06-17 13:46:00","Informatics","","Master","4","MacOS","Safari","Expert","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","I like the detail and helpfulness of the current feedback","While the AI tools used in Artemis are tailored to promote a student`s learning experience, most students are probably focussed on getting the exercise done asap. The current automated feedback shows a lot of positive (""You've done a great job! .."") feedback instead of shutting up (like the automated tests which quietly pass). This makes it hard to distinguish important recommendations from useless reading time.","I like the detail and helpfulness of the current feedback","It´s very easy to access, the boundaries are super-low :)","I did not like to wait for both the submission and the AI feedback to process - maybe you can increase the LLMs speed or pre-load it in some way?"
"15","2024-06-17 13:56:19","2024-06-17 13:50:32","Informatics","","Bachelor","6","MacOS","Firefox","Advanced","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","in certain instances I found the AI a bit overcorrective in its feedback. For example feedback it gave for toString methods in my implementation seemed unnecessary. But this is something you can easily tweak, the overall concept is mind-blowing","Very useful. I referred to it and this made me work faster. ","It would be great if you could pick the level of the feedback - for example: ""show me only the big errors"" or ""show me medium errors and above or ""show me everything"" - this would be very useful in the work process","I found the answers pretty good and liked the process overall.","I didn't encounter any problem per se, but I think the cost of 2000+ people (e.g for pgdp) requesting feedbacks over and over again in the semester will not be cheap for you guys."
"16","2024-06-17 14:57:22","2024-06-17 14:38:36","Informatics","","Master","2","MacOS","Safari","Advanced","Strongly Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Neutral","Neutral","Neutral","Possibly give the ai feedback (items ?) a heading, expand them by default, and use a more neutral color.
The AI feedback looks a lot like the list of failed tests.","The feedback was mostly irrelevant. Only a few feedbacks could help me solve the assignment.","- Feedback based on what tests still fail.
- Feedback on how I could potentially improve my own solutions.
- Possibly feedback on what I have done well.","The AI feedback took changes from the last commit into account :)","When I first saw the popup, I had to read it carefully. That's because I first thought that the repository would be locked permanently after requesting feedback. This didn't seem right and I read the popup more carefully.
I also cannot remember if the remaining amount of ai feedback was communicated through the UI. "
"17","2024-06-17 14:58:43","2024-06-17 14:39:30","Informatics","","Bachelor","6","MacOS","Safari","Advanced","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","It would be nice if there was some kind of information where/who is handling the data to give your feedback. E.g. if it's handled by an external model or with an on premise model within TUM. ","It's very nice that it gives individual feedback to the sections of code that were changed in the last commit. The feedback adapts to the ""status"" of your code. If there are still big parts of the implementation missing, it will review it in a broader way. Once you continue coding, it gets more granular. ","It would also be nice to include CodeStyle and clean Code comments in there, e.g. if the variable names and the general flow of code is understandable for other developers. This would really benefit courses that don't have group projects. ","Imo this would also be huge improvement for Artemis coming from the student perspective (the feedback Artemis gives with static tests is usually quite useless, and the lecturer has to spend a lot of time to write it), but would also save tutors & lecturers a lot of work explaining/solving ""minor"" coding errors. 
The big advantage is that the ""Direct Automated Feedback""  has knowledge of the problem statement AND the code, which makes it easier to use than e.g. Github Copilot (no knowledge of problem statement), and ChatGPT (manual copying of code and problem statement necessary). ","Generating the Feedback takes quite long, but I think that depends on the model and its ressources. 
What makes it a bit confusing is that it says ""this repository will be locked while the feedback is generated"", maybe it would be useful if the feedback was linked to a commit. Then a small disclaimer, ""new commits won't affect this feedback until it's fully generated"" would be enough. Otherwise it could cause people to be ""scared"" of using the feature. "
"18","2024-06-17 14:54:04","2024-06-17 14:45:37","Informatics","","Master","3","MacOS","Other","Intermediate","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","","I find the feedback detailed and useful. Even for this small exercise, there were a lot of things that I overlooked that I have realized through the feedback.","","I didn't expect it to be this detailed. It gives feedback on nearly every line of code and I think it would be especially useful for beginners","I wasn't sure where the feedback would show up after I requested it for the first time. Maybe some directives on that would be useful."
"19","2024-06-17 14:59:31","2024-06-17 14:47:29","Informatics","","Bachelor","5","MacOS","Safari","Advanced","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Group feedback in a visual way (e.g. by classes, packages, etc.), so some visual separator, that way it would be easier to understand which feedback belongs where.","Feedback was helpful, but some feedback was very similar/duplicated while separated by multiple other feedback blocks","Mostly semantical (the IDE already does a lot of syntactical feedback)","It's really informative","Takes quite some time."
"20","2024-06-17 17:40:55","2024-06-17 17:33:10","Informatics: Games Engineering","","Bachelor","6","MacOS","Arc","Advanced","Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","- colorizing the responses: e.g responses that just say your code is code vs responses that point out actual problems vs. formatting can be improved
- lock mechanism is kind of weird + lock pop up only once would suffies
- responses per section appended to each part would be better","- not so much formatting feedback: e.g feedback for if there are blank lines, even IntelliJ standard formatting does not fulfil AI constraints
- partly wrong feedback: e.g superclass should be a protected class -> does not even compile","primarly what can be better or is not correct and less whats already good in my code","relatively intuitive and fast","none except the responses could be better"

